fips,county_name,state_fips,county_fips,total_population,disability_total,disability_rate,no_disability,one_disability,two_plus_disabilities,hearing_disability,vision_disability,cognitive_disability,ambulatory_disability,self_care_disability,independent_living_disability
01001,"Autauga County, Alabama",01,001,57443,773,1.35,13765,664,109,2437,2826,3689,5058,1287,6834
01003,"Baldwin County, Alabama",01,003,230074,1890,0.82,49331,1326,564,11304,10919,10300,17442,5019,25492
01005,"Barbour County, Alabama",01,005,21892,354,1.62,5151,297,57,973,1484,1272,2113,870,2719
01007,"Bibb County, Alabama",01,007,20850,351,1.68,4682,291,60,1145,1158,1859,1976,661,2855
01009,"Blount County, Alabama",01,009,58587,576,0.98,13564,449,127,2878,2450,3522,4964,1557,7346
01011,"Bullock County, Alabama",01,011,9640,35,0.36,2175,35,0,410,417,380,534,221,1242
01013,"Butler County, Alabama",01,013,18686,156,0.83,4234,94,62,752,886,1097,1854,450,2341
01015,"Calhoun County, Alabama",01,015,114576,1391,1.21,24465,990,401,6532,5841,9275,12784,4726,16602
01017,"Chambers County, Alabama",01,017,34130,236,0.69,7191,182,54,1744,2255,2703,4277,1829,4474
01019,"Cherokee County, Alabama",01,019,24779,371,1.5,4718,341,30,1350,1545,1730,3005,1041,2900
01021,"Chilton County, Alabama",01,021,44781,619,1.38,10705,374,245,2044,1843,2968,4886,1682,6387
01023,"Choctaw County, Alabama",01,023,12543,76,0.61,2526,76,0,743,838,1191,1921,569,1604
01025,"Clarke County, Alabama",01,025,22750,340,1.49,5075,256,84,843,1565,1678,2514,996,2937
01027,"Clay County, Alabama",01,027,13919,145,1.04,2910,38,107,948,807,861,1927,682,1773
01029,"Cleburne County, Alabama",01,029,14989,161,1.07,3446,144,17,1032,1089,1122,1450,393,1794
01031,"Coffee County, Alabama",01,031,51466,744,1.45,12670,564,180,2627,2710,3866,4812,1448,6329
01033,"Colbert County, Alabama",01,033,56784,454,0.8,11972,402,52,2535,2862,3341,5825,2145,7660
01035,"Conecuh County, Alabama",01,035,11518,37,0.32,2368,27,10,633,838,769,1624,403,1230
01037,"Coosa County, Alabama",01,037,9919,193,1.95,1658,75,118,777,765,938,1471,628,1061
01039,"Covington County, Alabama",01,039,37040,379,1.02,8227,277,102,1947,2146,2868,4695,1296,4741
01041,"Crenshaw County, Alabama",01,041,12929,116,0.9,3020,80,36,615,724,904,1241,398,1556
01043,"Cullman County, Alabama",01,043,87442,1030,1.18,19646,731,299,4608,4615,6095,8325,2511,10592
01045,"Dale County, Alabama",01,045,46837,570,1.22,11390,379,191,2402,2969,3976,5079,1764,6462
01047,"Dallas County, Alabama",01,047,38031,425,1.12,8990,255,170,1633,1634,2808,4906,1642,5191
01049,"DeKalb County, Alabama",01,049,70836,730,1.03,17145,506,224,2830,3218,4479,5946,2453,8961
01051,"Elmore County, Alabama",01,051,82845,976,1.18,19056,848,128,4507,3832,4315,6571,1990,11639
01053,"Escambia County, Alabama",01,053,34273,243,0.71,8333,185,58,1715,1781,2191,4100,867,4437
01055,"Etowah County, Alabama",01,055,102350,1272,1.24,22094,827,445,5308,5090,6657,10343,3749,13411
01057,"Fayette County, Alabama",01,057,16096,288,1.79,3436,197,91,1030,1065,1485,2388,560,2098
01059,"Franklin County, Alabama",01,059,31750,310,0.98,7920,247,63,1330,1640,2386,2916,1403,4382
01061,"Geneva County, Alabama",01,061,26330,396,1.5,5834,353,43,1542,1816,2375,3275,1279,3545
01063,"Greene County, Alabama",01,063,7629,105,1.38,1696,32,73,520,410,1128,1143,378,1263
01065,"Hale County, Alabama",01,065,14513,430,2.96,3444,394,36,761,794,1673,1605,521,2316
01067,"Henry County, Alabama",01,067,16997,173,1.02,3508,96,77,892,1257,1434,1874,846,2154
01069,"Houston County, Alabama",01,069,105970,1331,1.26,24391,1015,316,4505,4752,7448,9548,3226,13681
01071,"Jackson County, Alabama",01,071,52083,564,1.08,10840,414,150,2829,3201,4816,6321,2504,6768
01073,"Jefferson County, Alabama",01,073,665054,8168,1.23,152145,6164,2004,23585,27230,38890,52665,19272,95154
01075,"Lamar County, Alabama",01,075,13727,99,0.72,3026,99,0,687,822,1403,1758,463,1945
01077,"Lauderdale County, Alabama",01,077,93301,524,0.56,18227,372,152,4363,4247,4270,7422,2570,13410
01079,"Lawrence County, Alabama",01,079,32852,264,0.8,7172,155,109,2108,1842,2678,4114,1975,4524
