fips,county_name,state,gini_index
01001,Autauga County,AL,0.4541
01003,Baldwin County,AL,0.4648
01005,Barbour County,AL,0.5098
01007,Bibb County,AL,0.4553
01009,Blount County,AL,0.4475
01011,Bullock County,AL,0.5058
01013,Butler County,AL,0.4837
01015,Calhoun County,AL,0.4519
01017,Chambers County,AL,0.4371
01019,Cherokee County,AL,0.4484
01021,Chilton County,AL,0.4211
01023,Choctaw County,AL,0.4675
01025,Clarke County,AL,0.529
01027,Clay County,AL,0.48
01029,Cleburne County,AL,0.4724
01031,Coffee County,AL,0.4354
01033,Colbert County,AL,0.4488
01035,Conecuh County,AL,0.4639
01037,Coosa County,AL,0.4216
01039,Covington County,AL,0.4908
01041,Crenshaw County,AL,0.5581
01043,Cullman County,AL,0.4425
01045,Dale County,AL,0.4432
01047,Dallas County,AL,0.4894
01049,DeKalb County,AL,0.4555
01051,Elmore County,AL,0.4189
01053,Escambia County,AL,0.4673
01055,Etowah County,AL,0.4556
01057,Fayette County,AL,0.4876
01059,Franklin County,AL,0.4441
01061,Geneva County,AL,0.4363
01063,Greene County,AL,0.4702
01065,Hale County,AL,0.5119
01067,Henry County,AL,0.4655
01069,Houston County,AL,0.4833
01071,Jackson County,AL,0.4574
01073,Jefferson County,AL,0.5049
01075,Lamar County,AL,0.4259
01077,Lauderdale County,AL,0.4618
01079,Lawrence County,AL,0.4483
01081,Lee County,AL,0.513
01083,Limestone County,AL,0.4272
01085,Lowndes County,AL,0.5197
01087,Macon County,AL,0.4853
01089,Madison County,AL,0.4695
01091,Marengo County,AL,0.5163
01093,Marion County,AL,0.4443
01095,Marshall County,AL,0.4567
01097,Mobile County,AL,0.4694
01099,Monroe County,AL,0.4773
01101,Montgomery County,AL,0.495
01103,Morgan County,AL,0.4491
01105,Perry County,AL,0.3953
01107,Pickens County,AL,0.4814
01109,Pike County,AL,0.5191
01111,Randolph County,AL,0.4697
01113,Russell County,AL,0.4664
01115,St. Clair County,AL,0.4081
01117,Shelby County,AL,0.4441
01119,Sumter County,AL,0.4823
01121,Talladega County,AL,0.4797
01123,Tallapoosa County,AL,0.4892
01125,Tuscaloosa County,AL,0.4713
01127,Walker County,AL,0.4543
01129,Washington County,AL,0.4965
01131,Wilcox County,AL,0.4578
01133,Winston County,AL,0.4547
02013,Aleutians East Borough,AK,0.3727
02016,Aleutians West Census Area,AK,0.3254
02020,Anchorage Municipality,AK,0.4291
02050,Bethel Census Area,AK,0.4603
02060,Bristol Bay Borough,AK,0.4087
02063,Chugach Census Area,AK,0.3721
02066,Copper River Census Area,AK,0.4125
02068,Denali Borough,AK,0.3805
02070,Dillingham Census Area,AK,0.4092
02090,Fairbanks North Star Borough,AK,0.4242
02100,Haines Borough,AK,0.4181
02105,Hoonah-Angoon Census Area,AK,0.4693
02110,Juneau City and Borough,AK,0.4037
02122,Kenai Peninsula Borough,AK,0.454
02130,Ketchikan Gateway Borough,AK,0.4376
02150,Kodiak Island Borough,AK,0.4005
02158,Kusilvak Census Area,AK,0.4451
02164,Lake and Peninsula Borough,AK,0.3936
02170,Matanuska-Susitna Borough,AK,0.4189
02180,Nome Census Area,AK,0.4439
02185,North Slope Borough,AK,0.443
02188,Northwest Arctic Borough,AK,0.4208
02195,Petersburg Borough,AK,0.4251
02198,Prince of Wales-Hyder Census Area,AK,0.425
02220,Sitka City and Borough,AK,0.3721
02230,Skagway Municipality,AK,0.3547
02240,Southeast Fairbanks Census Area,AK,0.4239
02275,Wrangell City and Borough,AK,0.4125
02282,Yakutat City and Borough,AK,0.2936
02290,Yukon-Koyukuk Census Area,AK,0.4639
04001,Apache County,AZ,0.5144
04003,Cochise County,AZ,0.4384
04005,Coconino County,AZ,0.4603
04007,Gila County,AZ,0.4389
04009,Graham County,AZ,0.4057
04011,Greenlee County,AZ,0.3756
04012,La Paz County,AZ,0.4817
04013,Maricopa County,AZ,0.4555
04015,Mohave County,AZ,0.4622
04017,Navajo County,AZ,0.4536
04019,Pima County,AZ,0.4679
04021,Pinal County,AZ,0.4199
04023,Santa Cruz County,AZ,0.4635
04025,Yavapai County,AZ,0.4482
04027,Yuma County,AZ,0.4574
05001,Arkansas County,AR,0.4412
05003,Ashley County,AR,0.5126
05005,Baxter County,AR,0.4592
05007,Benton County,AR,0.4565
05009,Boone County,AR,0.4477
05011,Bradley County,AR,0.4717
05013,Calhoun County,AR,0.3919
05015,Carroll County,AR,0.4498
05017,Chicot County,AR,0.5559
05019,Clark County,AR,0.4502
05021,Clay County,AR,0.4523
05023,Cleburne County,AR,0.4541
05025,Cleveland County,AR,0.4511
05027,Columbia County,AR,0.5224
05029,Conway County,AR,0.4697
05031,Craighead County,AR,0.4934
05033,Crawford County,AR,0.4445
05035,Crittenden County,AR,0.4769
05037,Cross County,AR,0.4748
05039,Dallas County,AR,0.4456
05041,Desha County,AR,0.4552
05043,Drew County,AR,0.4952
05045,Faulkner County,AR,0.4638
05047,Franklin County,AR,0.452
05049,Fulton County,AR,0.4215
05051,Garland County,AR,0.4606
05053,Grant County,AR,0.4555
