fips,county_name,state,total,pct_deep_poverty,pct_poverty,pct_near_poverty
01001,Autauga County,AL,58291,5.35,11.37,8.83
01003,Baldwin County,AL,229539,4.07,10.21,8.12
01005,Barbour County,AL,21851,13.18,24.16,13.58
01007,Bibb County,AL,20836,12.8,20.62,8.4
01009,Blount County,AL,58399,5.27,14.17,8.68
01011,Bullock County,AL,9616,12.15,27.94,19.47
01013,Butler County,AL,18652,7.46,21.11,12.66
01015,Calhoun County,AL,112350,8.61,18.04,10.66
01017,Chambers County,AL,34008,6.48,17.88,10.88
01019,Cherokee County,AL,24658,4.62,14.26,11.38
01021,Chilton County,AL,44441,5.68,14.45,8.33
01023,Choctaw County,AL,12475,8.81,19.14,12.78
01025,Clarke County,AL,22687,9.64,22.36,7.36
01027,Clay County,AL,13887,7.17,17.57,11.54
01029,Cleburne County,AL,14978,5.03,12.89,14.78
01031,Coffee County,AL,52713,7.94,16.3,9.87
01033,Colbert County,AL,56667,7.72,15.88,7.22
01035,Conecuh County,AL,11514,10.07,18.43,20.18
01037,Coosa County,AL,9969,4.5,11.05,11.16
01039,Covington County,AL,36847,8.23,18.78,11.3
01041,Crenshaw County,AL,12895,6.51,14.86,13.52
01043,Cullman County,AL,87201,6.28,13.03,10.26
01045,Dale County,AL,48342,9.35,17.52,12.09
01047,Dallas County,AL,37774,10.04,27.08,13.72
01049,DeKalb County,AL,70473,6.85,20.22,13.36
01051,Elmore County,AL,83185,3.96,9.6,9.07
01053,Escambia County,AL,34154,9.81,21.81,16.5
01055,Etowah County,AL,101767,6.0,15.87,11.38
01057,Fayette County,AL,15973,9.64,22.18,12.32
01059,Franklin County,AL,31558,6.23,16.62,16.65
01061,Geneva County,AL,26306,5.09,20.83,11.2
01063,Greene County,AL,7612,11.53,32.9,17.08
01065,Hale County,AL,14448,9.3,25.01,10.91
01067,Henry County,AL,16807,7.71,15.52,10.39
01069,Houston County,AL,105841,7.81,17.84,9.96
01071,Jackson County,AL,52008,6.33,18.61,12.35
01073,Jefferson County,AL,654506,7.64,15.87,8.77
01075,Lamar County,AL,13736,5.79,15.34,11.37
01077,Lauderdale County,AL,91894,5.87,13.26,11.18
01079,Lawrence County,AL,32725,6.86,15.83,11.35
01081,Lee County,AL,167593,11.13,18.5,8.51
01083,Limestone County,AL,100831,5.04,11.19,7.19
