fips,county_name,state,total_16_plus,labor_force,unemployed,labor_force_participation_rate,unemployment_rate
01001,Autauga County,AL,47146,28106,752,59.61,2.68
01003,Baldwin County,AL,189569,111766,3825,58.96,3.42
01005,Barbour County,AL,20399,8968,516,43.96,5.75
01007,Bibb County,AL,18046,9028,786,50.03,8.71
01009,Blount County,AL,47261,26459,1578,55.98,5.96
01011,Bullock County,AL,8376,3888,144,46.42,3.7
01013,Butler County,AL,15203,8047,548,52.93,6.81
01015,Calhoun County,AL,94627,53521,3692,56.56,6.9
01017,Chambers County,AL,28036,15691,559,55.97,3.56
01019,Cherokee County,AL,20956,10713,425,51.12,3.97
01021,Chilton County,AL,35294,19921,1056,56.44,5.3
01023,Choctaw County,AL,10532,4781,249,45.39,5.21
01025,Clarke County,AL,18614,8967,1116,48.17,12.45
01027,Clay County,AL,11636,5513,315,47.38,5.71
01029,Cleburne County,AL,12103,5844,152,48.29,2.6
01031,Coffee County,AL,42478,24401,1095,57.44,4.49
01033,Colbert County,AL,46692,26546,903,56.85,3.4
01035,Conecuh County,AL,9568,3928,171,41.05,4.35
01037,Coosa County,AL,8825,4096,178,46.41,4.35
01039,Covington County,AL,30145,16001,877,53.08,5.48
01041,Crenshaw County,AL,10556,5492,332,52.03,6.05
01043,Cullman County,AL,70954,41231,1789,58.11,4.34
01045,Dale County,AL,39197,21870,1527,55.8,6.98
01047,Dallas County,AL,30351,15804,1445,52.07,9.14
01049,DeKalb County,AL,56883,32124,1258,56.47,3.92
01051,Elmore County,AL,70825,41512,1700,58.61,4.1
01053,Escambia County,AL,29357,14277,1313,48.63,9.2
01055,Etowah County,AL,83569,47374,2847,56.69,6.01
01057,Fayette County,AL,13382,6972,672,52.1,9.64
01059,Franklin County,AL,24985,14005,536,56.05,3.83
01061,Geneva County,AL,21423,11382,437,53.13,3.84
01063,Greene County,AL,6121,2466,111,40.29,4.5
01065,Hale County,AL,11591,5902,450,50.92,7.62
01067,Henry County,AL,14191,7739,412,54.53,5.32
01069,Houston County,AL,85251,48358,2403,56.72,4.97
01071,Jackson County,AL,43027,21720,1312,50.48,6.04
01073,Jefferson County,AL,537683,329543,17733,61.29,5.38
01075,Lamar County,AL,11102,5674,284,51.11,5.01
01077,Lauderdale County,AL,77733,45176,1632,58.12,3.61
01079,Lawrence County,AL,26784,14271,423,53.28,2.96
01081,Lee County,AL,143029,85288,3196,59.63,3.75
01083,Limestone County,AL,84173,50219,2078,59.66,4.14
01085,Lowndes County,AL,8181,4036,302,49.33,7.48
01087,Macon County,AL,16423,8171,1010,49.75,12.36
01089,Madison County,AL,315604,202425,8515,64.14,4.21
01091,Marengo County,AL,15434,7807,220,50.58,2.82
01093,Marion County,AL,23947,12382,800,51.71,6.46
01095,Marshall County,AL,75849,43136,1641,56.87,3.8
01097,Mobile County,AL,328379,188337,11043,57.35,5.86
01099,Monroe County,AL,16255,7160,862,44.05,12.04
01101,Montgomery County,AL,180677,107762,7127,59.64,6.61
01103,Morgan County,AL,98341,57531,2407,58.5,4.18
01105,Perry County,AL,6880,2737,427,39.78,15.6
01107,Pickens County,AL,15746,7363,388,46.76,5.27
01109,Pike County,AL,27502,14525,717,52.81,4.94
01111,Randolph County,AL,17952,8905,289,49.6,3.25
01113,Russell County,AL,46044,25598,1574,55.59,6.15
01115,St. Clair County,AL,73891,43840,1873,59.33,4.27
01117,Shelby County,AL,179299,117512,3662,65.54,3.12
01119,Sumter County,AL,10124,4685,382,46.28,8.15
01121,Talladega County,AL,66263,35164,2934,53.07,8.34
01123,Tallapoosa County,AL,33913,17444,1814,51.44,10.4
01125,Tuscaloosa County,AL,189439,116638,6434,61.57,5.52
01127,Walker County,AL,52243,27363,1550,52.38,5.66
01129,Washington County,AL,12747,5993,379,47.01,6.32
01131,Wilcox County,AL,8367,3746,401,44.77,10.7
01133,Winston County,AL,19441,10242,452,52.68,4.41
02013,Aleutians East Borough,AK,3061,2415,106,78.9,4.39
02016,Aleutians West Census Area,AK,4404,3701,110,84.04,2.97
02020,Anchorage Municipality,AK,228369,159676,7747,69.92,4.85
02050,Bethel Census Area,AK,12669,7862,1265,62.06,16.09
02060,Bristol Bay Borough,AK,707,450,12,63.65,2.67
02063,Chugach Census Area,AK,5590,3895,332,69.68,8.52
02066,Copper River Census Area,AK,1982,1220,78,61.55,6.39
02068,Denali Borough,AK,1881,1419,26,75.44,1.83
02070,Dillingham Census Area,AK,3519,2182,247,62.01,11.32
02090,Fairbanks North Star Borough,AK,75407,52077,2458,69.06,4.72
02100,Haines Borough,AK,1526,842,36,55.18,4.28
02105,Hoonah-Angoon Census Area,AK,2044,1366,191,66.83,13.98
02110,Juneau City and Borough,AK,26255,17491,762,66.62,4.36
02122,Kenai Peninsula Borough,AK,47627,27373,1971,57.47,7.2
02130,Ketchikan Gateway Borough,AK,11333,7476,300,65.97,4.01
02150,Kodiak Island Borough,AK,10161,7466,373,73.48,5.0
02158,Kusilvak Census Area,AK,5204,3111,647,59.78,20.8
02164,Lake and Peninsula Borough,AK,763,567,79,74.31,13.93
02170,Matanuska-Susitna Borough,AK,83540,50405,3446,60.34,6.84
02180,Nome Census Area,AK,6951,4561,746,65.62,16.36
02185,North Slope Borough,AK,8764,6911,470,78.86,6.8
02188,Northwest Arctic Borough,AK,5175,3116,482,60.21,15.47
02195,Petersburg Borough,AK,2845,1774,77,62.36,4.34
