fips,county_name,state,total_25_plus,pct_hs_or_higher,pct_bachelors_or_higher
01001,Autauga County,AL,40188,90.4,29.56
01003,Baldwin County,AL,167022,91.6,32.56
01005,Barbour County,AL,17675,76.49,11.88
01007,Bibb County,AL,15925,78.86,10.92
01009,Blount County,AL,40817,81.76,14.74
01011,Bullock County,AL,7156,73.38,9.38
01013,Butler County,AL,13266,87.59,13.05
01015,Calhoun County,AL,78931,85.07,19.15
01017,Chambers County,AL,24706,83.46,12.73
01019,Cherokee County,AL,18523,81.93,14.59
01021,Chilton County,AL,30609,82.16,13.97
01023,Choctaw County,AL,9052,82.39,13.05
01025,Clarke County,AL,16015,81.39,13.77
01027,Clay County,AL,10053,83.34,12.76
01029,Cleburne County,AL,10630,82.55,16.49
01031,Coffee County,AL,36556,86.62,21.61
01033,Colbert County,AL,40835,86.38,18.04
01035,Conecuh County,AL,8382,89.43,13.31
01037,Coosa County,AL,8049,83.49,10.63
01039,Covington County,AL,26447,85.76,16.31
01041,Crenshaw County,AL,9148,82.07,17.2
01043,Cullman County,AL,61520,84.61,18.3
01045,Dale County,AL,33687,85.66,19.16
01047,Dallas County,AL,25984,85.31,15.69
01049,DeKalb County,AL,48385,77.73,14.15
01051,Elmore County,AL,61046,88.55,24.16
01053,Escambia County,AL,25461,82.27,12.56
01055,Etowah County,AL,72715,86.12,17.72
01057,Fayette County,AL,11428,83.74,13.0
01059,Franklin County,AL,21351,80.1,14.83
01061,Geneva County,AL,18982,83.4,13.91
01063,Greene County,AL,5449,81.89,16.72
01065,Hale County,AL,9980,80.57,16.37
01067,Henry County,AL,12561,81.53,20.96
01069,Houston County,AL,73993,87.62,22.46
01071,Jackson County,AL,37823,82.03,16.19
01073,Jefferson County,AL,457310,91.06,35.57
01075,Lamar County,AL,9894,82.07,10.24
01077,Lauderdale County,AL,64564,88.79,25.83
01079,Lawrence County,AL,23478,82.66,15.78
01081,Lee County,AL,107084,91.71,40.16
01083,Limestone County,AL,73067,87.33,29.53
01085,Lowndes County,AL,7035,83.33,16.32
01087,Macon County,AL,11880,82.72,20.56
01089,Madison County,AL,267305,92.22,45.09
01091,Marengo County,AL,12997,89.11,21.96
01093,Marion County,AL,20785,80.62,11.83
01095,Marshall County,AL,64995,84.37,21.42
01097,Mobile County,AL,279868,88.13,24.21
01099,Monroe County,AL,13707,83.69,13.51
01101,Montgomery County,AL,151442,87.97,33.68
01103,Morgan County,AL,84874,85.23,23.85
01105,Perry County,AL,5314,79.58,15.22
01107,Pickens County,AL,13592,84.95,14.51
01109,Pike County,AL,19205,87.9,27.71
01111,Randolph County,AL,15614,82.02,18.8
01113,Russell County,AL,39868,85.19,16.36
01115,St. Clair County,AL,64523,87.29,19.33
01117,Shelby County,AL,153645,93.79,45.6
01119,Sumter County,AL,7354,88.81,21.76
01121,Talladega County,AL,57406,83.21,16.6
01123,Tallapoosa County,AL,29557,81.88,18.15
01125,Tuscaloosa County,AL,141959,90.64,30.88
01127,Walker County,AL,45281,82.67,15.29
01129,Washington County,AL,10500,88.27,14.22
01131,Wilcox County,AL,7069,77.71,11.61
01133,Winston County,AL,16998,80.04,13.83
02013,Aleutians East Borough,AK,2675,81.01,16.93
02016,Aleutians West Census Area,AK,3861,89.54,15.44
02020,Anchorage Municipality,AK,192454,94.18,37.03
02050,Bethel Census Area,AK,10109,82.74,9.69
02060,Bristol Bay Borough,AK,636,94.97,26.26
02063,Chugach Census Area,AK,4929,94.54,31.47
02066,Copper River Census Area,AK,1791,92.41,28.08
02068,Denali Borough,AK,1674,96.65,25.15
02070,Dillingham Census Area,AK,2902,88.11,20.47
02090,Fairbanks North Star Borough,AK,61350,94.67,32.95
02100,Haines Borough,AK,1420,97.68,33.66
02105,Hoonah-Angoon Census Area,AK,1838,94.02,27.53
02110,Juneau City and Borough,AK,22947,95.44,40.74
02122,Kenai Peninsula Borough,AK,41645,94.23,27.97
02130,Ketchikan Gateway Borough,AK,9869,94.74,28.49
02150,Kodiak Island Borough,AK,8634,91.23,28.47
02158,Kusilvak Census Area,AK,4052,81.42,4.59
02164,Lake and Peninsula Borough,AK,651,90.78,15.51
02170,Matanuska-Susitna Borough,AK,71369,94.22,23.65
02180,Nome Census Area,AK,5564,88.23,18.31
02185,North Slope Borough,AK,7601,90.67,14.2
02188,Northwest Arctic Borough,AK,4230,86.05,15.15
02195,Petersburg Borough,AK,2537,86.95,24.79
02198,Prince of Wales-Hyder Census Area,AK,4151,92.46,19.39
02220,Sitka City and Borough,AK,6071,95.22,34.2
02230,Skagway Municipality,AK,970,92.68,27.84
02240,Southeast Fairbanks Census Area,AK,4534,93.74,19.78
02275,Wrangell City and Borough,AK,1559,87.11,18.02
02282,Yakutat City and Borough,AK,397,93.95,10.83
02290,Yukon-Koyukuk Census Area,AK,3451,87.02,14.14
04001,Apache County,AZ,42220,84.01,13.78
04003,Cochise County,AZ,88211,88.91,26.7
04005,Coconino County,AZ,86631,91.45,39.59
04007,Gila County,AZ,39673,87.14,18.09
04009,Graham County,AZ,24362,84.62,13.95
04011,Greenlee County,AZ,5854,85.94,16.67
04012,La Paz County,AZ,13188,82.61,12.38
04013,Maricopa County,AZ,2987215,89.18,34.98
04015,Mohave County,AZ,165754,87.78,14.41
04017,Navajo County,AZ,70604,85.64,17.29
04019,Pima County,AZ,705718,89.47,34.98
04021,Pinal County,AZ,302970,88.46,21.4
04023,Santa Cruz County,AZ,30749,77.97,23.5
04025,Yavapai County,AZ,184475,92.15,28.68
04027,Yuma County,AZ,131335,76.19,16.42
05001,Arkansas County,AR,11889,85.97,15.78
05003,Ashley County,AR,13222,85.87,11.58
05005,Baxter County,AR,31982,89.63,18.16
05007,Benton County,AR,188577,90.12,35.51
05009,Boone County,AR,26260,90.61,16.63
05011,Bradley County,AR,7105,85.84,12.54
05013,Calhoun County,AR,3462,85.3,12.54
05015,Carroll County,AR,20180,85.79,21.44
05017,Chicot County,AR,7065,79.65,17.62
05019,Clark County,AR,12424,89.73,26.45
05021,Clay County,AR,10342,84.3,15.38
05023,Cleburne County,AR,18612,87.91,17.19
05025,Cleveland County,AR,5413,91.87,15.87
05027,Columbia County,AR,14189,88.31,18.99
05029,Conway County,AR,14483,89.21,19.15
05031,Craighead County,AR,71091,90.18,28.21
05033,Crawford County,AR,41093,85.47,20.32
05035,Crittenden County,AR,30572,85.58,17.63
05037,Cross County,AR,11566,83.47,16.06
05039,Dallas County,AR,4671,88.44,13.04
05041,Desha County,AR,7691,78.98,13.07
05043,Drew County,AR,10906,87.36,25.02
05045,Faulkner County,AR,77167,93.04,32.48
05047,Franklin County,AR,12025,86.25,12.3
05049,Fulton County,AR,8708,86.87,14.39
05051,Garland County,AR,72911,90.64,25.25
05053,Grant County,AR,12609,92.64,18.78
05055,Greene County,AR,30946,87.92,16.56
05057,Hempstead County,AR,13301,83.89,15.79
05059,Hot Spring County,AR,24022,88.54,15.5
05061,Howard County,AR,8505,88.42,14.98
05063,Independence County,AR,25382,86.85,17.11
05065,Izard County,AR,10452,83.25,18.93
05067,Jackson County,AR,11927,86.26,11.86
05069,Jefferson County,AR,45704,89.08,20.15
05071,Johnson County,AR,17235,80.48,15.04
05073,Lafayette County,AR,4514,81.06,10.61
05075,Lawrence County,AR,10950,82.27,12.95
05077,Lee County,AR,6193,83.51,7.7
05079,Lincoln County,AR,10007,83.48,8.13
