fips,county_name,total_pop,uninsured_pop,uninsured_rate,poverty_rate,rural,rural_category,hospital_closure_risk_score,risk_category
01001,"Autauga County, Alabama",57443,20,0.03,11.37,False,Urban/Suburban,0,Low
01003,"Baldwin County, Alabama",230074,441,0.19,10.21,False,Urban/Suburban,0,Low
01005,"Barbour County, Alabama",21892,6,0.03,24.16,True,Rural,50,Moderate
01007,"Bibb County, Alabama",20850,0,0.0,20.62,True,Rural,50,Moderate
01009,"Blount County, Alabama",58587,100,0.17,14.17,False,Urban/Suburban,0,Low
01011,"Bullock County, Alabama",9640,20,0.21,27.94,True,Rural,50,Moderate
01013,"Butler County, Alabama",18686,0,0.0,21.11,True,Rural,50,Moderate
01015,"Calhoun County, Alabama",114576,79,0.07,18.04,False,Urban/Suburban,0,Low
01017,"Chambers County, Alabama",34130,50,0.15,17.88,True,Rural,25,Low
01019,"Cherokee County, Alabama",24779,3,0.01,14.26,True,Rural,25,Low
01021,"Chilton County, Alabama",44781,0,0.0,14.45,True,Rural,25,Low
01023,"Choctaw County, Alabama",12543,0,0.0,19.14,True,Rural,25,Low
01025,"Clarke County, Alabama",22750,6,0.03,22.36,True,Rural,50,Moderate
01027,"Clay County, Alabama",13919,0,0.0,17.57,True,Rural,25,Low
01029,"Cleburne County, Alabama",14989,8,0.05,12.89,True,Rural,25,Low
01031,"Coffee County, Alabama",51466,81,0.16,16.3,False,Urban/Suburban,0,Low
01033,"Colbert County, Alabama",56784,17,0.03,15.88,False,Urban/Suburban,0,Low
01035,"Conecuh County, Alabama",11518,0,0.0,18.43,True,Rural,25,Low
01037,"Coosa County, Alabama",9919,11,0.11,11.05,True,Rural,25,Low
01039,"Covington County, Alabama",37040,161,0.43,18.78,True,Rural,25,Low
01041,"Crenshaw County, Alabama",12929,43,0.33,14.86,True,Rural,25,Low
01043,"Cullman County, Alabama",87442,145,0.17,13.03,False,Urban/Suburban,0,Low
01045,"Dale County, Alabama",46837,54,0.12,17.52,True,Rural,25,Low
01047,"Dallas County, Alabama",38031,0,0.0,27.08,True,Rural,50,Moderate
01049,"DeKalb County, Alabama",70836,191,0.27,20.22,False,Urban/Suburban,25,Low
01051,"Elmore County, Alabama",82845,54,0.07,9.6,False,Urban/Suburban,0,Low
01053,"Escambia County, Alabama",34273,64,0.19,21.81,True,Rural,50,Moderate
01055,"Etowah County, Alabama",102350,64,0.06,15.87,False,Urban/Suburban,0,Low
01057,"Fayette County, Alabama",16096,22,0.14,22.18,True,Rural,50,Moderate
01059,"Franklin County, Alabama",31750,126,0.4,16.62,True,Rural,25,Low
01061,"Geneva County, Alabama",26330,25,0.09,20.83,True,Rural,50,Moderate
01063,"Greene County, Alabama",7629,5,0.07,32.9,True,Rural,50,Moderate
01065,"Hale County, Alabama",14513,6,0.04,25.01,True,Rural,50,Moderate
