fips,county_name,total_renters,pct_rent_burdened_30plus,pct_rent_burdened_50plus,median_gross_rent,median_household_income,total_housing_units,owner_occupied,renter_occupied,pct_renter,annual_rent,rent_to_income_ratio,affordability_category,hours_at_min_wage_for_rent,weeks_at_min_wage_for_rent
01001,"Autauga County, Alabama",5476,27.34,16.29,1199,68315,22308,16832,5476,24.55,14388,21.06,Affordable,165.0,4.1
01003,"Baldwin County, Alabama",20094,44.54,21.04,1160,71039,90802,70708,20094,22.13,13920,19.59,Affordable,160.0,4.0
01005,"Barbour County, Alabama",3158,34.36,14.44,627,39712,9016,5858,3158,35.03,7524,18.95,Affordable,86.0,2.2
01007,"Bibb County, Alabama",1751,40.95,21.76,765,50669,7216,5465,1751,24.27,9180,18.12,Affordable,106.0,2.6
01009,"Blount County, Alabama",4482,36.97,17.85,734,57440,21626,17144,4482,20.73,8808,15.33,Affordable,101.0,2.5
01011,"Bullock County, Alabama",1219,33.47,24.77,619,36136,3450,2231,1219,35.33,7428,20.56,Affordable,85.0,2.1
01013,"Butler County, Alabama",2084,39.88,22.65,720,44429,7131,5047,2084,29.22,8640,19.45,Affordable,99.0,2.5
01015,"Calhoun County, Alabama",12999,41.0,21.41,806,54339,44693,31694,12999,29.09,9672,17.8,Affordable,111.0,2.8
01017,"Chambers County, Alabama",3657,31.8,14.57,842,48805,13143,9486,3657,27.82,10104,20.7,Affordable,116.0,2.9
01019,"Cherokee County, Alabama",2025,26.67,4.74,700,46621,9997,7972,2025,20.26,8400,18.02,Affordable,97.0,2.4
01021,"Chilton County, Alabama",4231,22.45,11.23,814,62471,16931,12700,4231,24.99,9768,15.64,Affordable,112.0,2.8
01023,"Choctaw County, Alabama",942,31.0,18.05,616,43299,5228,4286,942,18.02,7392,17.07,Affordable,85.0,2.1
01025,"Clarke County, Alabama",2272,32.13,13.64,723,47549,8188,5916,2272,27.75,8676,18.25,Affordable,100.0,2.5
01027,"Clay County, Alabama",1188,31.14,10.02,576,48074,5485,4297,1188,21.66,6912,14.38,Affordable,79.0,2.0
01029,"Cleburne County, Alabama",1265,31.07,7.35,782,51553,5761,4496,1265,21.96,9384,18.2,Affordable,108.0,2.7
01031,"Coffee County, Alabama",6218,33.97,18.16,921,62199,20363,14145,6218,30.54,11052,17.77,Affordable,127.0,3.2
01033,"Colbert County, Alabama",6746,38.38,16.93,810,56149,23266,16520,6746,29.0,9720,17.31,Affordable,112.0,2.8
01035,"Conecuh County, Alabama",1127,30.52,16.24,718,39888,4453,3326,1127,25.31,8616,21.6,Affordable,99.0,2.5
01037,"Coosa County, Alabama",750,34.0,3.73,632,52279,3999,3249,750,18.75,7584,14.51,Affordable,87.0,2.2
01039,"Covington County, Alabama",3552,38.82,21.28,701,48772,14194,10642,3552,25.02,8412,17.25,Affordable,97.0,2.4
01041,"Crenshaw County, Alabama",1230,30.08,19.43,595,48557,4839,3609,1230,25.42,7140,14.7,Affordable,82.0,2.0
01043,"Cullman County, Alabama",8009,33.77,16.49,848,58119,33649,25640,8009,23.8,10176,17.51,Affordable,117.0,2.9
01045,"Dale County, Alabama",7731,35.33,15.78,829,52813,19400,11669,7731,39.85,9948,18.84,Affordable,114.0,2.8
01047,"Dallas County, Alabama",5693,45.48,26.58,726,37180,14753,9060,5693,38.59,8712,23.43,Affordable,100.0,2.5
01049,"DeKalb County, Alabama",6716,34.48,18.98,684,47920,25690,18974,6716,26.14,8208,17.13,Affordable,94.0,2.4
01051,"Elmore County, Alabama",7372,39.69,17.78,982,73258,32184,24812,7372,22.91,11784,16.09,Affordable,135.0,3.4
01053,"Escambia County, Alabama",4278,34.78,16.41,659,41153,13022,8744,4278,32.85,7908,19.22,Affordable,91.0,2.3
