fips,county_name,state,total_pop,composite_index,economic_score,education_score,healthcare_score,housing_score,food_score,disability_score,poverty_rate,no_vehicle_pct,uninsured_rate,hospital_closure_risk,pct_rent_burdened_30,pct_rent_burdened_50,median_gross_rent,rent_to_income_ratio,gini_index,unemployment_rate,labor_force_participation,pct_deep_poverty,pct_poverty,pct_near_poverty,pct_hs_or_higher,pct_bachelors_or_higher,disability_rate
01001,"Autauga County, Alabama",AL,58291.0,34.1,38.2,21.8,10.9,51.3,29.2,70.7,11.37,3.98,0.03,0.0,27.34,16.29,1199.0,21.06,0.4541,2.68,59.61,5.35,11.37,8.83,90.4,29.56,1.35
01003,"Baldwin County, Alabama",AL,229539.0,35.5,38.8,16.0,32.7,77.9,15.4,28.6,10.21,2.26,0.19,0.0,44.54,21.04,1160.0,19.59,0.4648,3.42,58.96,4.07,10.21,8.12,91.6,32.56,0.82
01005,"Barbour County, Alabama",AL,21851.0,76.7,86.0,94.2,53.1,54.4,92.9,83.9,24.16,11.73,0.03,50.0,34.36,14.44,627.0,18.95,0.5098,5.75,43.96,13.18,24.16,13.58,76.49,11.88,1.62
01007,"Bibb County, Alabama",AL,20836.0,73.7,82.0,97.1,42.2,64.0,80.3,86.0,20.62,7.54,0.0,50.0,40.95,21.76,765.0,18.12,0.4553,8.71,50.03,12.8,20.62,8.4,78.86,10.92,1.68
01009,"Blount County, Alabama",AL,58399.0,49.7,55.3,84.6,30.8,38.0,47.1,42.5,14.17,4.84,0.17,0.0,36.97,17.85,734.0,15.33,0.4475,5.96,55.98,5.27,14.17,8.68,81.76,14.74,0.98
01011,"Bullock County, Alabama",AL,9616.0,71.4,71.9,99.0,76.6,58.2,93.4,5.6,27.94,10.41,0.21,50.0,33.47,24.77,619.0,20.56,0.5058,3.7,46.42,12.15,27.94,19.47,73.38,9.38,0.36
01013,"Butler County, Alabama",AL,18652.0,64.8,79.3,91.3,42.3,68.0,64.2,29.6,21.11,5.03,0.0,50.0,39.88,22.65,720.0,19.45,0.4837,6.81,52.93,7.46,21.11,12.66,87.59,13.05,0.83
01015,"Calhoun County, Alabama",AL,112350.0,55.8,73.2,60.6,16.6,62.2,64.0,61.4,18.04,5.57,0.07,0.0,41.0,21.41,806.0,17.8,0.4519,6.9,56.56,8.61,18.04,10.66,85.07,19.15,1.21
01017,"Chambers County, Alabama",AL,34008.0,54.2,42.2,92.4,43.0,55.7,72.7,18.9,17.88,6.97,0.15,25.0,31.8,14.57,842.0,20.7,0.4371,3.56,55.97,6.48,17.88,10.88,83.46,12.73,0.69
01019,"Cherokee County, Alabama",AL,24658.0,46.2,39.5,85.3,23.2,38.9,34.8,78.6,14.26,3.24,0.01,25.0,26.67,4.74,700.0,18.02,0.4484,3.97,51.12,4.62,14.26,11.38,81.93,14.59,1.5
01021,"Chilton County, Alabama",AL,44441.0,42.9,44.7,88.3,14.5,20.1,35.6,72.3,14.45,3.28,0.0,25.0,22.45,11.23,814.0,15.64,0.4211,5.3,56.44,5.68,14.45,8.33,82.16,13.97,1.38
01023,"Choctaw County, Alabama",AL,12475.0,51.6,71.1,91.3,14.5,38.0,66.9,14.9,19.14,5.68,0.0,25.0,31.0,18.05,616.0,17.07,0.4675,5.21,45.39,8.81,19.14,12.78,82.39,13.05,0.61
01025,"Clarke County, Alabama",AL,22687.0,75.8,93.6,89.2,53.2,47.0,90.2,77.9,22.36,10.61,0.03,50.0,32.13,13.64,723.0,18.25,0.529,12.45,48.17,9.64,22.36,7.36,81.39,13.77,1.49
01027,"Clay County, Alabama",AL,13887.0,53.4,73.1,92.2,14.5,22.3,68.6,47.3,17.57,6.36,0.0,25.0,31.14,10.02,576.0,14.38,0.48,5.71,47.38,7.17,17.57,11.54,83.34,12.76,1.04
01029,"Cleburne County, Alabama",AL,14978.0,47.6,41.9,75.5,28.2,45.1,56.3,49.8,12.89,6.75,0.05,25.0,31.07,7.35,782.0,18.2,0.4724,2.6,48.29,5.03,12.89,14.78,82.55,16.49,1.07
01031,"Coffee County, Alabama",AL,52713.0,47.8,52.9,47.2,29.8,47.3,45.5,76.2,16.3,3.96,0.16,0.0,33.97,18.16,921.0,17.77,0.4354,4.49,57.44,7.94,16.3,9.87,86.62,21.61,1.45
01033,"Colbert County, Alabama",AL,56667.0,43.3,50.5,67.7,11.0,53.8,50.8,26.9,15.88,4.68,0.03,0.0,38.38,16.93,810.0,17.31,0.4488,3.4,56.85,7.72,15.88,7.22,86.38,18.04,0.8
01035,"Conecuh County, Alabama",AL,11514.0,53.1,66.5,90.5,14.6,56.1,74.0,4.9,18.43,7.01,0.0,25.0,30.52,16.24,718.0,21.6,0.4639,4.35,41.05,10.07,18.43,20.18,89.43,13.31,0.32
01037,"Coosa County, Alabama",AL,9969.0,47.4,31.8,97.6,37.7,27.6,26.5,91.9,11.05,3.78,0.11,25.0,34.0,3.73,632.0,14.51,0.4216,4.35,46.41,4.5,11.05,11.16,83.49,10.63,1.95
01039,"Covington County, Alabama",AL,36847.0,65.7,77.0,76.5,58.4,54.5,70.7,45.5,18.78,6.35,0.43,25.0,38.82,21.28,701.0,17.25,0.4908,5.48,53.08,8.23,18.78,11.3,85.76,16.31,1.02
01041,"Crenshaw County, Alabama",AL,12895.0,58.2,77.8,71.9,55.4,22.2,66.5,35.3,14.86,7.32,0.33,25.0,30.08,19.43,595.0,14.7,0.5581,6.05,52.03,6.51,14.86,13.52,82.07,17.2,0.9
01043,"Cullman County, Alabama",AL,87201.0,45.1,48.3,65.7,30.9,45.4,28.7,59.3,13.03,2.94,0.17,0.0,33.77,16.49,848.0,17.51,0.4425,4.34,58.11,6.28,13.03,10.26,84.61,18.3,1.18
01045,"Dale County, Alabama",AL,48342.0,58.4,71.7,60.4,39.2,55.7,60.1,62.1,17.52,5.23,0.12,25.0,35.33,15.78,829.0,18.84,0.4432,6.98,55.8,9.35,17.52,12.09,85.66,19.16,1.22
01047,"Dallas County, Alabama",AL,37774.0,75.9,89.5,79.7,42.4,88.1,95.9,54.5,27.08,14.59,0.0,50.0,45.48,26.58,726.0,23.43,0.4894,9.14,52.07,10.04,27.08,13.72,85.31,15.69,1.12
01049,"DeKalb County, Alabama",AL,70473.0,56.5,53.0,87.2,53.0,44.3,55.4,46.4,20.22,4.17,0.27,25.0,34.48,18.98,684.0,17.13,0.4555,3.92,56.47,6.85,20.22,13.36,77.73,14.15,1.03
01051,"Elmore County, Alabama",AL,83185.0,32.4,26.4,36.5,16.7,48.1,25.9,59.4,9.6,4.3,0.07,0.0,39.69,17.78,982.0,16.09,0.4189,4.1,58.61,3.96,9.6,9.07,88.55,24.16,1.18
01053,"Escambia County, Alabama",AL,34154.0,71.3,84.0,92.5,75.0,56.3,73.5,19.9,21.81,6.14,0.19,50.0,34.78,16.41,659.0,19.22,0.4673,9.2,48.63,9.81,21.81,16.5,82.27,12.56,0.71
01055,"Etowah County, Alabama",AL,101767.0,51.9,62.2,69.3,15.0,64.0,46.9,63.6,15.87,4.24,0.06,0.0,41.52,21.11,779.0,17.92,0.4556,6.01,56.69,6.0,15.87,11.38,86.12,17.72,1.24
01057,"Fayette County, Alabama",AL,15973.0,78.8,88.8,91.5,69.7,44.0,90.0,88.5,22.18,10.7,0.14,50.0,38.41,20.82,600.0,15.77,0.4876,9.64,52.1,9.64,22.18,12.32,83.74,13.0,1.79
01059,"Franklin County, Alabama",AL,31558.0,54.5,45.3,84.0,57.6,21.0,77.9,42.6,16.62,9.17,0.4,25.0,27.06,12.77,596.0,15.1,0.4441,3.83,56.05,6.23,16.62,16.65,80.1,14.83,0.98
01061,"Geneva County, Alabama",AL,26306.0,61.6,36.5,88.6,62.7,49.0,76.4,78.6,20.83,6.83,0.09,50.0,35.5,21.78,696.0,17.54,0.4363,3.84,53.13,5.09,20.83,11.2,83.4,13.91,1.5
01063,"Greene County, Alabama",AL,7612.0,71.8,70.4,74.3,58.9,63.6,96.7,72.3,32.9,13.16,0.07,50.0,32.63,13.16,682.0,24.95,0.4702,4.5,40.29,11.53,32.9,17.08,81.89,16.72,1.38
01065,"Hale County, Alabama",AL,14448.0,81.9,89.1,76.1,54.6,89.4,93.2,98.8,25.01,11.48,0.04,50.0,47.94,18.5,668.0,22.36,0.5119,7.62,50.92,9.3,25.01,10.91,80.57,16.37,2.96
01067,"Henry County, Alabama",AL,16807.0,49.6,68.6,50.4,14.7,46.5,69.7,45.5,15.52,7.61,0.0,25.0,44.24,20.7,678.0,13.93,0.4655,5.32,54.53,7.71,15.52,10.39,81.53,20.96,1.02
01069,"Houston County, Alabama",AL,105841.0,54.6,71.2,43.6,18.6,65.1,68.1,65.4,17.84,6.2,0.08,0.0,40.1,21.17,858.0,18.7,0.4833,4.97,56.72,7.81,17.84,9.96,87.62,22.46,1.26
