state,ownership_percentage
Montana,66.3
Wyoming,66.2
Alaska,64.5
Idaho,60.1
West Virginia,58.5
Arkansas,57.2
Mississippi,55.8
Alabama,55.5
South Dakota,55.3
North Dakota,55.1
Oklahoma,54.7
Kentucky,54.6
Louisiana,53.1
Tennessee,51.6
Oregon,50.8
Vermont,50.5
South Carolina,49.4
Georgia,49.2
Kansas,48.9
Missouri,48.8
Nevada,47.3
Maine,46.8
Utah,46.8
Arizona,46.3
New Mexico,46.2
North Carolina,45.8
Texas,45.7
Wisconsin,45.3
Nebraska,45.2
Colorado,45.1
Indiana,44.8
Virginia,44.6
Iowa,43.6
Minnesota,42.8
Washington,42.1
New Hampshire,41.1
Pennsylvania,40.7
Michigan,40.2
Ohio,40.0
Florida,35.3
Delaware,34.4
Maryland,30.2
California,28.3
Illinois,27.8
Connecticut,23.6
New York,19.9
Hawaii,14.9
Rhode Island,14.8
Massachusetts,14.7
New Jersey,14.7
